Statistic,Year,Commodity Group,UNIT,VALUE
Annual Average Percentage Change in Consumer Price Index (%),1990,Alcoholic beverages and tobacco,%,0.2
Annual Average Percentage Change in Consumer Price Index (%),1991,Alcoholic beverages and tobacco,%,3.7
Annual Average Percentage Change in Consumer Price Index (%),1992,Alcoholic beverages and tobacco,%,6.6
Annual Average Percentage Change in Consumer Price Index (%),1993,Alcoholic beverages and tobacco,%,3.3
Annual Average Percentage Change in Consumer Price Index (%),1994,Alcoholic beverages and tobacco,%,5.6
Annual Average Percentage Change in Consumer Price Index (%),1995,Alcoholic beverages and tobacco,%,3.9
Annual Average Percentage Change in Consumer Price Index (%),1996,Alcoholic beverages and tobacco,%,3.9
Annual Average Percentage Change in Consumer Price Index (%),1997,Alcoholic beverages and tobacco,%,2.7
Annual Average Percentage Change in Consumer Price Index (%),1998,Alcoholic beverages and tobacco,%,3.9
Annual Average Percentage Change in Consumer Price Index (%),1999,Alcoholic beverages and tobacco,%,4
Annual Average Percentage Change in Consumer Price Index (%),2000,Alcoholic beverages and tobacco,%,11.5
Annual Average Percentage Change in Consumer Price Index (%),2001,Alcoholic beverages and tobacco,%,2.5
Annual Average Percentage Change in Consumer Price Index (%),2002,Alcoholic beverages and tobacco,%,5.6
Annual Average Percentage Change in Consumer Price Index (%),2003,Alcoholic beverages and tobacco,%,9.8
Annual Average Percentage Change in Consumer Price Index (%),2004,Alcoholic beverages and tobacco,%,3.5
Annual Average Percentage Change in Consumer Price Index (%),2005,Alcoholic beverages and tobacco,%,0.6
Annual Average Percentage Change in Consumer Price Index (%),2006,Alcoholic beverages and tobacco,%,1.1
Annual Average Percentage Change in Consumer Price Index (%),2007,Alcoholic beverages and tobacco,%,5.3
Annual Average Percentage Change in Consumer Price Index (%),2008,Alcoholic beverages and tobacco,%,4.8
Annual Average Percentage Change in Consumer Price Index (%),2009,Alcoholic beverages and tobacco,%,6.3
Annual Average Percentage Change in Consumer Price Index (%),2010,Alcoholic beverages and tobacco,%,-2.6
Annual Average Percentage Change in Consumer Price Index (%),2011,Alcoholic beverages and tobacco,%,-0.1
Annual Average Percentage Change in Consumer Price Index (%),2012,Alcoholic beverages and tobacco,%,3.5
Annual Average Percentage Change in Consumer Price Index (%),2013,Alcoholic beverages and tobacco,%,5.2
Annual Average Percentage Change in Consumer Price Index (%),2014,Alcoholic beverages and tobacco,%,3.8
Annual Average Percentage Change in Consumer Price Index (%),2015,Alcoholic beverages and tobacco,%,0.4
Annual Average Percentage Change in Consumer Price Index (%),2016,Alcoholic beverages and tobacco,%,1.5
Annual Average Percentage Change in Consumer Price Index (%),2017,Alcoholic beverages and tobacco,%,0.7
Annual Average Percentage Change in Consumer Price Index (%),2018,Alcoholic beverages and tobacco,%,2.8
Annual Average Percentage Change in Consumer Price Index (%),2019,Alcoholic beverages and tobacco,%,2.8
Annual Average Percentage Change in Consumer Price Index (%),2020,Alcoholic beverages and tobacco,%,2.4
